title	Si_diamond
particles	512
supercell
xmin	-0.679000
xmax	21.049000
ymin	-0.679000
ymax	21.049000
zmin	-0.679000
zmax	21.049000
species	x	y	z	mobileFlag	thermoFlag
Si	16.296000	2.716000	2.716000	1	1
Si	2.716000	5.432000	2.716000	1	1
Si	8.148000	5.432000	2.716000	1	1
Si	13.580000	5.432000	2.716000	1	1
Si	19.012000	5.432000	2.716000	1	1
Si	0.000000	8.148000	2.716000	1	1
Si	5.432000	8.148000	2.716000	1	1
Si	10.864000	8.148000	2.716000	1	1
Si	16.296000	8.148000	2.716000	1	1
Si	2.716000	10.864000	2.716000	1	1
Si	8.148000	10.864000	2.716000	1	1
Si	13.580000	10.864000	2.716000	1	1
Si	19.012000	10.864000	2.716000	1	1
Si	0.000000	13.580000	2.716000	1	1
Si	5.432000	13.580000	2.716000	1	1
Si	10.864000	13.580000	2.716000	1	1
Si	16.296000	13.580000	2.716000	1	1
Si	2.716000	16.296000	2.716000	1	1
Si	8.148000	16.296000	2.716000	1	1
Si	13.580000	16.296000	2.716000	1	1
Si	19.012000	16.296000	2.716000	1	1
Si	0.000000	19.012000	2.716000	1	1
Si	5.432000	19.012000	2.716000	1	1
Si	10.864000	19.012000	2.716000	1	1
Si	16.296000	19.012000	2.716000	1	1
Si	4.074000	1.358000	4.074000	1	1
Si	9.506000	1.358000	4.074000	1	1
Si	14.938000	1.358000	4.074000	1	1
Si	20.370000	1.358000	4.074000	1	1
Si	1.358000	4.074000	4.074000	1	1
Si	6.790000	4.074000	4.074000	1	1
Si	12.222000	4.074000	4.074000	1	1
Si	17.654000	4.074000	4.074000	1	1
Si	4.074000	6.790000	4.074000	1	1
Si	9.506000	6.790000	4.074000	1	1
Si	14.938000	6.790000	4.074000	1	1
Si	20.370000	6.790000	4.074000	1	1
Si	1.358000	9.506000	4.074000	1	1
Si	6.790000	9.506000	4.074000	1	1
Si	12.222000	9.506000	4.074000	1	1
Si	17.654000	9.506000	4.074000	1	1
Si	4.074000	12.222000	4.074000	1	1
Si	9.506000	12.222000	4.074000	1	1
Si	14.938000	12.222000	4.074000	1	1
Si	20.370000	12.222000	4.074000	1	1
Si	1.358000	14.938000	4.074000	1	1
Si	6.790000	14.938000	4.074000	1	1
Si	12.222000	14.938000	4.074000	1	1
Si	17.654000	14.938000	4.074000	1	1
Si	4.074000	17.654000	4.074000	1	1
Si	9.506000	17.654000	4.074000	1	1
Si	14.938000	17.654000	4.074000	1	1
Si	20.370000	17.654000	4.074000	1	1
Si	1.358000	20.370000	4.074000	1	1
Si	6.790000	20.370000	4.074000	1	1
Si	12.222000	20.370000	4.074000	1	1
Si	17.654000	20.370000	4.074000	1	1
Si	0.000000	0.000000	5.432000	1	1
Si	5.432000	0.000000	5.432000	1	1
Si	10.864000	0.000000	5.432000	1	1
Si	16.296000	0.000000	5.432000	1	1
Si	2.716000	2.716000	5.432000	1	1
Si	8.148000	2.716000	5.432000	1	1
Si	13.580000	2.716000	5.432000	1	1
Si	19.012000	2.716000	5.432000	1	1
Si	0.000000	5.432000	5.432000	1	1
Si	5.432000	5.432000	5.432000	1	1
Si	10.864000	5.432000	5.432000	1	1
Si	16.296000	5.432000	5.432000	1	1
Si	2.716000	8.148000	5.432000	1	1
Si	8.148000	8.148000	5.432000	1	1
Si	13.580000	8.148000	5.432000	1	1
Si	19.012000	8.148000	5.432000	1	1
Si	0.000000	10.864000	5.432000	1	1
Si	5.432000	10.864000	5.432000	1	1
Si	10.864000	10.864000	5.432000	1	1
Si	16.296000	10.864000	5.432000	1	1
Si	2.716000	13.580000	5.432000	1	1
Si	8.148000	13.580000	5.432000	1	1
Si	13.580000	13.580000	5.432000	1	1
Si	19.012000	13.580000	5.432000	1	1
Si	0.000000	16.296000	5.432000	1	1
Si	5.432000	16.296000	5.432000	1	1
Si	10.864000	16.296000	5.432000	1	1
Si	16.296000	16.296000	5.432000	1	1
Si	2.716000	19.012000	5.432000	1	1
Si	8.148000	19.012000	5.432000	1	1
Si	13.580000	19.012000	5.432000	1	1
Si	19.012000	19.012000	5.432000	1	1
Si	1.358000	1.358000	6.790000	1	1
Si	6.790000	1.358000	6.790000	1	1
Si	12.222000	1.358000	6.790000	1	1
Si	17.654000	1.358000	6.790000	1	1
Si	4.074000	4.074000	6.790000	1	1
Si	9.506000	4.074000	6.790000	1	1
Si	14.938000	4.074000	6.790000	1	1
Si	20.370000	4.074000	6.790000	1	1
Si	1.358000	6.790000	6.790000	1	1
Si	6.790000	6.790000	6.790000	1	1
Si	12.222000	6.790000	6.790000	1	1
Si	17.654000	6.790000	6.790000	1	1
Si	4.074000	9.506000	6.790000	1	1
Si	9.506000	9.506000	6.790000	1	1
Si	14.938000	9.506000	6.790000	1	1
Si	20.370000	9.506000	6.790000	1	1
Si	1.358000	12.222000	6.790000	1	1
Si	6.790000	12.222000	6.790000	1	1
Si	12.222000	12.222000	6.790000	1	1
Si	17.654000	12.222000	6.790000	1	1
Si	4.074000	14.938000	6.790000	1	1
Si	9.506000	14.938000	6.790000	1	1
Si	14.938000	14.938000	6.790000	1	1
Si	20.370000	14.938000	6.790000	1	1
Si	1.358000	17.654000	6.790000	1	1
Si	6.790000	17.654000	6.790000	1	1
Si	12.222000	17.654000	6.790000	1	1
Si	17.654000	17.654000	6.790000	1	1
Si	4.074000	20.370000	6.790000	1	1
Si	9.506000	20.370000	6.790000	1	1
Si	14.938000	20.370000	6.790000	1	1
Si	20.370000	20.370000	6.790000	1	1
Si	2.716000	0.000000	8.148000	1	1
Si	8.148000	0.000000	8.148000	1	1
Si	13.580000	0.000000	8.148000	1	1
Si	19.012000	0.000000	8.148000	1	1
Si	0.000000	2.716000	8.148000	1	1
Si	5.432000	2.716000	8.148000	1	1
Si	10.864000	2.716000	8.148000	1	1
Si	16.296000	2.716000	8.148000	1	1
Si	2.716000	5.432000	8.148000	1	1
Si	8.148000	5.432000	8.148000	1	1
Si	13.580000	5.432000	8.148000	1	1
Si	19.012000	5.432000	8.148000	1	1
Si	0.000000	8.148000	8.148000	1	1
Si	5.432000	8.148000	8.148000	1	1
Si	10.864000	8.148000	8.148000	1	1
Si	16.296000	8.148000	8.148000	1	1
Si	2.716000	10.864000	8.148000	1	1
Si	8.148000	10.864000	8.148000	1	1
Si	13.580000	10.864000	8.148000	1	1
Si	19.012000	10.864000	8.148000	1	1
Si	0.000000	13.580000	8.148000	1	1
Si	5.432000	13.580000	8.148000	1	1
Si	10.864000	13.580000	8.148000	1	1
Si	16.296000	13.580000	8.148000	1	1
Si	2.716000	16.296000	8.148000	1	1
Si	8.148000	16.296000	8.148000	1	1
Si	13.580000	16.296000	8.148000	1	1
Si	19.012000	16.296000	8.148000	1	1
Si	0.000000	19.012000	8.148000	1	1
Si	5.432000	19.012000	8.148000	1	1
Si	10.864000	19.012000	8.148000	1	1
Si	16.296000	19.012000	8.148000	1	1
Si	4.074000	1.358000	9.506000	1	1
Si	9.506000	1.358000	9.506000	1	1
Si	14.938000	1.358000	9.506000	1	1
Si	20.370000	1.358000	9.506000	1	1
Si	1.358000	4.074000	9.506000	1	1
Si	6.790000	4.074000	9.506000	1	1
Si	12.222000	4.074000	9.506000	1	1
Si	17.654000	4.074000	9.506000	1	1
Si	4.074000	6.790000	9.506000	1	1
Si	9.506000	6.790000	9.506000	1	1
Si	14.938000	6.790000	9.506000	1	1
Si	20.370000	6.790000	9.506000	1	1
Si	1.358000	9.506000	9.506000	1	1
Si	6.790000	9.506000	9.506000	1	1
Si	12.222000	9.506000	9.506000	1	1
Si	17.654000	9.506000	9.506000	1	1
Si	4.074000	12.222000	9.506000	1	1
Si	9.506000	12.222000	9.506000	1	1
Si	14.938000	12.222000	9.506000	1	1
Si	20.370000	12.222000	9.506000	1	1
Si	1.358000	14.938000	9.506000	1	1
Si	6.790000	14.938000	9.506000	1	1
Si	12.222000	14.938000	9.506000	1	1
Si	17.654000	14.938000	9.506000	1	1
Si	4.074000	17.654000	9.506000	1	1
Si	9.506000	17.654000	9.506000	1	1
Si	14.938000	17.654000	9.506000	1	1
Si	20.370000	17.654000	9.506000	1	1
Si	1.358000	20.370000	9.506000	1	1
Si	6.790000	20.370000	9.506000	1	1
Si	12.222000	20.370000	9.506000	1	1
Si	17.654000	20.370000	9.506000	1	1
Si	0.000000	0.000000	10.864000	1	1
Si	5.432000	0.000000	10.864000	1	1
Si	10.864000	0.000000	10.864000	1	1
Si	16.296000	0.000000	10.864000	1	1
Si	2.716000	2.716000	10.864000	1	1
Si	8.148000	2.716000	10.864000	1	1
Si	13.580000	2.716000	10.864000	1	1
Si	19.012000	2.716000	10.864000	1	1
Si	0.000000	5.432000	10.864000	1	1
Si	5.432000	5.432000	10.864000	1	1
Si	10.864000	5.432000	10.864000	1	1
Si	16.296000	5.432000	10.864000	1	1
Si	2.716000	8.148000	10.864000	1	1
Si	8.148000	8.148000	10.864000	1	1
Si	13.580000	8.148000	10.864000	1	1
Si	19.012000	8.148000	10.864000	1	1
Si	0.000000	10.864000	10.864000	1	1
Si	5.432000	10.864000	10.864000	1	1
Si	10.864000	10.864000	10.864000	1	1
Si	16.296000	10.864000	10.864000	1	1
Si	2.716000	13.580000	10.864000	1	1
Si	8.148000	13.580000	10.864000	1	1
Si	13.580000	13.580000	10.864000	1	1
Si	19.012000	13.580000	10.864000	1	1
Si	0.000000	16.296000	10.864000	1	1
Si	5.432000	16.296000	10.864000	1	1
Si	10.864000	16.296000	10.864000	1	1
Si	16.296000	16.296000	10.864000	1	1
Si	2.716000	19.012000	10.864000	1	1
Si	8.148000	19.012000	10.864000	1	1
Si	13.580000	19.012000	10.864000	1	1
Si	19.012000	19.012000	10.864000	1	1
Si	1.358000	1.358000	12.222000	1	1
Si	6.790000	1.358000	12.222000	1	1
Si	12.222000	1.358000	12.222000	1	1
Si	17.654000	1.358000	12.222000	1	1
Si	4.074000	4.074000	12.222000	1	1
Si	9.506000	4.074000	12.222000	1	1
Si	14.938000	4.074000	12.222000	1	1
Si	20.370000	4.074000	12.222000	1	1
Si	1.358000	6.790000	12.222000	1	1
Si	6.790000	6.790000	12.222000	1	1
Si	12.222000	6.790000	12.222000	1	1
Si	17.654000	6.790000	12.222000	1	1
Si	4.074000	9.506000	12.222000	1	1
Si	9.506000	9.506000	12.222000	1	1
Si	14.938000	9.506000	12.222000	1	1
Si	20.370000	9.506000	12.222000	1	1
Si	1.358000	12.222000	12.222000	1	1
Si	6.790000	12.222000	12.222000	1	1
Si	12.222000	12.222000	12.222000	1	1
Si	17.654000	12.222000	12.222000	1	1
Si	4.074000	14.938000	12.222000	1	1
Si	9.506000	14.938000	12.222000	1	1
Si	14.938000	14.938000	12.222000	1	1
Si	20.370000	14.938000	12.222000	1	1
Si	1.358000	17.654000	12.222000	1	1
Si	6.790000	17.654000	12.222000	1	1
Si	12.222000	17.654000	12.222000	1	1
Si	17.654000	17.654000	12.222000	1	1
Si	4.074000	20.370000	12.222000	1	1
Si	9.506000	20.370000	12.222000	1	1
Si	14.938000	20.370000	12.222000	1	1
Si	20.370000	20.370000	12.222000	1	1
Si	2.716000	0.000000	13.580000	1	1
Si	8.148000	0.000000	13.580000	1	1
Si	13.580000	0.000000	13.580000	1	1
Si	19.012000	0.000000	13.580000	1	1
Si	0.000000	2.716000	13.580000	1	1
Si	5.432000	2.716000	13.580000	1	1
Si	10.864000	2.716000	13.580000	1	1
Si	16.296000	2.716000	13.580000	1	1
Si	2.716000	5.432000	13.580000	1	1
Si	8.148000	5.432000	13.580000	1	1
Si	13.580000	5.432000	13.580000	1	1
Si	19.012000	5.432000	13.580000	1	1
Si	0.000000	8.148000	13.580000	1	1
Si	5.432000	8.148000	13.580000	1	1
Si	10.864000	8.148000	13.580000	1	1
Si	16.296000	8.148000	13.580000	1	1
Si	2.716000	10.864000	13.580000	1	1
Si	8.148000	10.864000	13.580000	1	1
Si	13.580000	10.864000	13.580000	1	1
Si	19.012000	10.864000	13.580000	1	1
Si	0.000000	13.580000	13.580000	1	1
Si	5.432000	13.580000	13.580000	1	1
Si	10.864000	13.580000	13.580000	1	1
Si	16.296000	13.580000	13.580000	1	1
Si	2.716000	16.296000	13.580000	1	1
Si	8.148000	16.296000	13.580000	1	1
Si	13.580000	16.296000	13.580000	1	1
Si	19.012000	16.296000	13.580000	1	1
Si	0.000000	19.012000	13.580000	1	1
Si	5.432000	19.012000	13.580000	1	1
Si	10.864000	19.012000	13.580000	1	1
Si	16.296000	19.012000	13.580000	1	1
Si	4.074000	1.358000	14.938000	1	1
Si	9.506000	1.358000	14.938000	1	1
Si	14.938000	1.358000	14.938000	1	1
Si	20.370000	1.358000	14.938000	1	1
Si	1.358000	4.074000	14.938000	1	1
Si	6.790000	4.074000	14.938000	1	1
Si	12.222000	4.074000	14.938000	1	1
Si	17.654000	4.074000	14.938000	1	1
Si	4.074000	6.790000	14.938000	1	1
Si	9.506000	6.790000	14.938000	1	1
Si	14.938000	6.790000	14.938000	1	1
Si	20.370000	6.790000	14.938000	1	1
Si	1.358000	9.506000	14.938000	1	1
Si	6.790000	9.506000	14.938000	1	1
Si	12.222000	9.506000	14.938000	1	1
Si	17.654000	9.506000	14.938000	1	1
Si	4.074000	12.222000	14.938000	1	1
Si	9.506000	12.222000	14.938000	1	1
Si	14.938000	12.222000	14.938000	1	1
Si	20.370000	12.222000	14.938000	1	1
Si	1.358000	14.938000	14.938000	1	1
Si	6.790000	14.938000	14.938000	1	1
Si	12.222000	14.938000	14.938000	1	1
Si	17.654000	14.938000	14.938000	1	1
Si	4.074000	17.654000	14.938000	1	1
Si	9.506000	17.654000	14.938000	1	1
Si	14.938000	17.654000	14.938000	1	1
Si	20.370000	17.654000	14.938000	1	1
Si	1.358000	20.370000	14.938000	1	1
Si	6.790000	20.370000	14.938000	1	1
Si	12.222000	20.370000	14.938000	1	1
Si	17.654000	20.370000	14.938000	1	1
Si	0.000000	0.000000	16.296000	1	1
Si	5.432000	0.000000	16.296000	1	1
Si	10.864000	0.000000	16.296000	1	1
Si	16.296000	0.000000	16.296000	1	1
Si	2.716000	2.716000	16.296000	1	1
Si	8.148000	2.716000	16.296000	1	1
Si	13.580000	2.716000	16.296000	1	1
Si	19.012000	2.716000	16.296000	1	1
Si	0.000000	5.432000	16.296000	1	1
Si	5.432000	5.432000	16.296000	1	1
Si	10.864000	5.432000	16.296000	1	1
Si	16.296000	5.432000	16.296000	1	1
Si	2.716000	8.148000	16.296000	1	1
Si	8.148000	8.148000	16.296000	1	1
Si	13.580000	8.148000	16.296000	1	1
Si	19.012000	8.148000	16.296000	1	1
Si	0.000000	10.864000	16.296000	1	1
Si	5.432000	10.864000	16.296000	1	1
Si	10.864000	10.864000	16.296000	1	1
Si	16.296000	10.864000	16.296000	1	1
Si	2.716000	13.580000	16.296000	1	1
Si	8.148000	13.580000	16.296000	1	1
Si	13.580000	13.580000	16.296000	1	1
Si	19.012000	13.580000	16.296000	1	1
Si	0.000000	16.296000	16.296000	1	1
Si	5.432000	16.296000	16.296000	1	1
Si	10.864000	16.296000	16.296000	1	1
Si	16.296000	16.296000	16.296000	1	1
Si	2.716000	19.012000	16.296000	1	1
Si	8.148000	19.012000	16.296000	1	1
Si	13.580000	19.012000	16.296000	1	1
Si	19.012000	19.012000	16.296000	1	1
Si	1.358000	1.358000	17.654000	1	1
Si	6.790000	1.358000	17.654000	1	1
Si	12.222000	1.358000	17.654000	1	1
Si	17.654000	1.358000	17.654000	1	1
Si	4.074000	4.074000	17.654000	1	1
Si	9.506000	4.074000	17.654000	1	1
Si	14.938000	4.074000	17.654000	1	1
Si	20.370000	4.074000	17.654000	1	1
Si	1.358000	6.790000	17.654000	1	1
Si	6.790000	6.790000	17.654000	1	1
Si	12.222000	6.790000	17.654000	1	1
Si	17.654000	6.790000	17.654000	1	1
Si	4.074000	9.506000	17.654000	1	1
Si	9.506000	9.506000	17.654000	1	1
Si	14.938000	9.506000	17.654000	1	1
Si	20.370000	9.506000	17.654000	1	1
Si	1.358000	12.222000	17.654000	1	1
Si	6.790000	12.222000	17.654000	1	1
Si	12.222000	12.222000	17.654000	1	1
Si	17.654000	12.222000	17.654000	1	1
Si	4.074000	14.938000	17.654000	1	1
Si	9.506000	14.938000	17.654000	1	1
Si	14.938000	14.938000	17.654000	1	1
Si	20.370000	14.938000	17.654000	1	1
Si	1.358000	17.654000	17.654000	1	1
Si	6.790000	17.654000	17.654000	1	1
Si	12.222000	17.654000	17.654000	1	1
Si	17.654000	17.654000	17.654000	1	1
Si	4.074000	20.370000	17.654000	1	1
Si	9.506000	20.370000	17.654000	1	1
Si	14.938000	20.370000	17.654000	1	1
Si	20.370000	20.370000	17.654000	1	1
Si	2.716000	0.000000	19.012000	1	1
Si	8.148000	0.000000	19.012000	1	1
Si	13.580000	0.000000	19.012000	1	1
Si	19.012000	0.000000	19.012000	1	1
Si	0.000000	2.716000	19.012000	1	1
Si	5.432000	2.716000	19.012000	1	1
Si	10.864000	2.716000	19.012000	1	1
Si	16.296000	2.716000	19.012000	1	1
Si	2.716000	5.432000	19.012000	1	1
Si	8.148000	5.432000	19.012000	1	1
Si	13.580000	5.432000	19.012000	1	1
Si	19.012000	5.432000	19.012000	1	1
Si	0.000000	8.148000	19.012000	1	1
Si	5.432000	8.148000	19.012000	1	1
Si	10.864000	8.148000	19.012000	1	1
Si	16.296000	8.148000	19.012000	1	1
Si	2.716000	10.864000	19.012000	1	1
Si	8.148000	10.864000	19.012000	1	1
Si	13.580000	10.864000	19.012000	1	1
Si	19.012000	10.864000	19.012000	1	1
Si	0.000000	13.580000	19.012000	1	1
Si	5.432000	13.580000	19.012000	1	1
Si	10.864000	13.580000	19.012000	1	1
Si	16.296000	13.580000	19.012000	1	1
Si	2.716000	16.296000	19.012000	1	1
Si	8.148000	16.296000	19.012000	1	1
Si	13.580000	16.296000	19.012000	1	1
Si	19.012000	16.296000	19.012000	1	1
Si	0.000000	19.012000	19.012000	1	1
Si	5.432000	19.012000	19.012000	1	1
Si	10.864000	19.012000	19.012000	1	1
Si	16.296000	19.012000	19.012000	1	1
Si	4.074000	1.358000	20.370000	1	1
Si	9.506000	1.358000	20.370000	1	1
Si	14.938000	1.358000	20.370000	1	1
Si	20.370000	1.358000	20.370000	1	1
Si	1.358000	4.074000	20.370000	1	1
Si	6.790000	4.074000	20.370000	1	1
Si	12.222000	4.074000	20.370000	1	1
Si	17.654000	4.074000	20.370000	1	1
Si	4.074000	6.790000	20.370000	1	1
Si	9.506000	6.790000	20.370000	1	1
Si	14.938000	6.790000	20.370000	1	1
Si	20.370000	6.790000	20.370000	1	1
Si	1.358000	9.506000	20.370000	1	1
Si	6.790000	9.506000	20.370000	1	1
Si	12.222000	9.506000	20.370000	1	1
Si	17.654000	9.506000	20.370000	1	1
Si	4.074000	12.222000	20.370000	1	1
Si	9.506000	12.222000	20.370000	1	1
Si	14.938000	12.222000	20.370000	1	1
Si	20.370000	12.222000	20.370000	1	1
Si	1.358000	14.938000	20.370000	1	1
Si	6.790000	14.938000	20.370000	1	1
Si	12.222000	14.938000	20.370000	1	1
Si	17.654000	14.938000	20.370000	1	1
Si	4.074000	17.654000	20.370000	1	1
Si	9.506000	17.654000	20.370000	1	1
Si	14.938000	17.654000	20.370000	1	1
Si	20.370000	17.654000	20.370000	1	1
Si	1.358000	20.370000	20.370000	1	1
Si	6.790000	20.370000	20.370000	1	1
Si	12.222000	20.370000	20.370000	1	1
Si	17.654000	20.370000	20.370000	1	1
